,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3640000,10/11/2019 04:45:00 PM,420,0.6,8,32,Top Cab Affiliation
3640001,10/11/2019 04:45:00 PM,420,0.9,32,8,Star North Management LLC
3640002,10/11/2019 04:45:00 PM,4920,0.9,76,8,Taxi Affiliation Services
3640003,10/11/2019 04:45:00 PM,421,0.68,8,8,City Service
3640004,10/11/2019 04:45:00 PM,309,0.62,32,8,City Service
3640005,10/11/2019 04:45:00 PM,364,0.62,32,32,Flash Cab
3640006,10/11/2019 04:45:00 PM,540,1.0,32,8,Choice Taxi Association
3640007,10/11/2019 04:45:00 PM,214,0.58,32,28,Chicago Independents
3640008,10/11/2019 04:45:00 PM,5100,1.1,76,32,Taxi Affiliation Services
3640009,10/11/2019 04:45:00 PM,382,0.6,32,28,Chicago Carriage Cab Corp
3640010,10/11/2019 04:45:00 PM,392,0.53,8,8,Flash Cab
3640011,10/11/2019 04:45:00 PM,2040,10.8,56,28,Taxi Affiliation Services
3640012,10/11/2019 04:45:00 PM,300,0.8,8,32,Taxi Affiliation Services
3640013,10/11/2019 04:45:00 PM,480,1.2,8,28,"Taxicab Insurance Agency, LLC"
3640014,10/11/2019 04:45:00 PM,597,1.27,32,8,Sun Taxi
3640015,10/11/2019 04:45:00 PM,5460,1.6,76,8,Taxi Affiliation Services
3640016,10/11/2019 04:45:00 PM,594,1.44,8,8,Chicago Carriage Cab Corp
3640017,10/11/2019 04:45:00 PM,325,0.51,28,28,Flash Cab
3640018,10/11/2019 04:45:00 PM,394,0.77,76,8,Sun Taxi
3640019,10/11/2019 04:45:00 PM,540,0.9,32,8,U Taxicab
3640020,10/11/2019 04:45:00 PM,360,0.7,28,32,Taxi Affiliation Services
3640021,10/11/2019 04:45:00 PM,240,1.1,28,32,Star North Management LLC
3640022,10/11/2019 04:45:00 PM,360,0.6,8,8,Top Cab Affiliation
3640023,10/11/2019 04:45:00 PM,300,0.7,32,32,Medallion Leasin
3640024,10/11/2019 04:45:00 PM,3240,0.6,33,56,Taxi Affiliation Services
3640025,10/11/2019 04:45:00 PM,477,0.89,28,28,5 Star Taxi
3640026,10/11/2019 04:45:00 PM,239,0.57,8,8,Chicago Carriage Cab Corp
3640027,10/11/2019 04:45:00 PM,420,0.9,32,8,Star North Management LLC
3640028,10/11/2019 04:45:00 PM,300,1.0,32,28,Taxi Affiliation Services
3640029,10/11/2019 04:45:00 PM,360,0.6,8,32,Medallion Leasin
3640030,10/11/2019 04:45:00 PM,360,0.8,28,32,Chicago Independents
3640031,10/11/2019 04:45:00 PM,2280,0.6,8,12,Blue Ribbon Taxi Association Inc.
3640032,10/11/2019 04:45:00 PM,540,1.4,8,8,Star North Management LLC
3640033,10/11/2019 04:45:00 PM,360,0.67,32,28,Flash Cab
3640034,10/11/2019 04:45:00 PM,446,0.6,32,32,Checker Taxi Affiliation
3640035,10/11/2019 04:45:00 PM,597,1.5,28,8,Nova Taxi Affiliation Llc
3640036,10/11/2019 04:45:00 PM,540,1.2,8,8,Choice Taxi Association
3640037,10/11/2019 04:45:00 PM,478,1.18,28,8,Nova Taxi Affiliation Llc
3640038,10/11/2019 04:45:00 PM,300,1.1,32,28,"Taxicab Insurance Agency, LLC"
3640039,10/11/2019 04:45:00 PM,3780,0.6,32,56,Taxi Affiliation Services
3640040,10/11/2019 04:45:00 PM,4860,1.1,76,32,Taxi Affiliation Services
3640041,10/11/2019 04:45:00 PM,420,0.7,32,32,Taxi Affiliation Services
3640042,10/11/2019 04:45:00 PM,540,1.4,32,8,Taxi Affiliation Services
3640043,10/11/2019 04:45:00 PM,2160,10.8,56,28,Taxi Affiliation Services
3640044,10/11/2019 04:45:00 PM,360,0.8,8,8,Star North Management LLC
3640045,10/11/2019 04:45:00 PM,424,1.5,28,28,Chicago Carriage Cab Corp
3640046,10/11/2019 04:45:00 PM,377,0.9,28,8,City Service
3640047,10/11/2019 04:45:00 PM,236,0.7,28,28,American United Taxi Affiliation
3640048,10/11/2019 04:45:00 PM,575,1.01,28,32,Chicago Carriage Cab Corp
3640049,10/11/2019 04:45:00 PM,540,0.82,32,32,Blue Diamond
3640050,10/11/2019 04:45:00 PM,420,1.2,32,8,Taxi Affiliation Services
3640051,10/11/2019 04:45:00 PM,492,1.1,28,32,Medallion Leasin
3640052,10/11/2019 04:45:00 PM,240,0.7,8,8,Taxi Affiliation Services
3640053,10/11/2019 04:45:00 PM,588,0.85,32,28,City Service
3640054,10/11/2019 04:45:00 PM,425,1.22,6,6,Flash Cab
3640055,10/11/2019 04:45:00 PM,300,0.7,32,32,Chicago Medallion Management
3640056,10/11/2019 04:45:00 PM,579,0.6,8,32,Taxi Affiliation Service Yellow
3640057,10/11/2019 04:45:00 PM,302,0.88,8,7,City Service
3640058,10/11/2019 04:45:00 PM,326,0.77,28,28,Chicago Carriage Cab Corp
3640059,10/11/2019 04:45:00 PM,420,1.3,8,8,Star North Management LLC
3640060,10/11/2019 04:45:00 PM,360,0.9,32,28,Taxi Affiliation Services
3640061,10/11/2019 04:45:00 PM,449,0.61,8,28,Chicago Carriage Cab Corp
3640062,10/11/2019 04:45:00 PM,540,1.2,32,32,Top Cab Affiliation
3640063,10/11/2019 04:45:00 PM,540,1.4,8,28,Taxi Affiliation Services
3640064,10/11/2019 04:45:00 PM,590,1.05,8,28,Flash Cab
3640065,10/11/2019 04:45:00 PM,475,0.65,32,8,Chicago Carriage Cab Corp
3640066,10/11/2019 04:45:00 PM,360,1.2,32,28,Taxi Affiliation Services
3640067,10/11/2019 04:45:00 PM,320,0.6,32,8,Sun Taxi
3640068,10/11/2019 04:45:00 PM,497,1.24,77,3,Sun Taxi
3640069,10/11/2019 04:45:00 PM,2160,1.6,8,8,Medallion Leasin
3640070,10/11/2019 04:45:00 PM,536,0.55,32,32,Sun Taxi
3640071,10/11/2019 04:45:00 PM,364,0.69,28,32,Blue Diamond
3640072,10/11/2019 04:45:00 PM,371,0.91,28,28,Chicago Carriage Cab Corp
3640073,10/11/2019 04:45:00 PM,477,1.34,32,8,Chicago Carriage Cab Corp
3640074,10/11/2019 04:45:00 PM,540,0.9,32,32,Star North Management LLC
3640075,10/11/2019 04:45:00 PM,426,0.89,32,8,Flash Cab
3640076,10/11/2019 04:45:00 PM,360,1.2,28,8,Star North Management LLC
3640077,10/11/2019 04:45:00 PM,346,1.32,8,7,Chicago Carriage Cab Corp
3640078,10/11/2019 04:45:00 PM,452,0.65,8,8,Chicago Carriage Cab Corp
3640079,10/11/2019 04:45:00 PM,586,0.8,28,32,Flash Cab
3640080,10/11/2019 04:45:00 PM,300,0.7,8,8,Taxi Affiliation Services
3640081,10/11/2019 04:45:00 PM,240,0.6,8,8,Taxi Affiliation Services
3640082,10/11/2019 04:45:00 PM,553,0.71,8,8,Chicago Carriage Cab Corp
3640083,10/11/2019 04:45:00 PM,360,1.1,8,32,Star North Management LLC
3640084,10/11/2019 04:45:00 PM,300,0.9,8,8,Star North Management LLC
3640085,10/11/2019 04:45:00 PM,240,0.6,8,32,Star North Management LLC
3640086,10/11/2019 04:45:00 PM,254,0.94,8,8,24 Seven Taxi
3640087,10/11/2019 04:45:00 PM,556,0.9,8,8,Medallion Leasin
3640088,10/11/2019 04:45:00 PM,402,0.88,32,28,Flash Cab
3640089,10/11/2019 04:45:00 PM,300,0.7,32,32,"Taxicab Insurance Agency, LLC"
3640090,10/11/2019 04:45:00 PM,453,0.84,8,8,Chicago Carriage Cab Corp
3640091,10/11/2019 04:45:00 PM,314,0.8,32,28,Medallion Leasin
3640092,10/11/2019 04:45:00 PM,540,1.0,32,8,Taxi Affiliation Services
3640093,10/11/2019 04:45:00 PM,480,1.0,8,32,Medallion Leasin
3640094,10/11/2019 04:45:00 PM,569,1.63,33,33,Sun Taxi
3640095,10/11/2019 04:45:00 PM,447,0.54,32,32,Sun Taxi
3640096,10/11/2019 04:45:00 PM,540,1.2,8,8,Choice Taxi Association
3640097,10/11/2019 04:45:00 PM,2783,10.71,76,16,Flash Cab
3640098,10/11/2019 04:45:00 PM,532,1.47,8,8,City Service
3640099,10/11/2019 04:45:00 PM,559,1.41,8,24,Sun Taxi
3640100,10/11/2019 04:45:00 PM,350,1.3,28,28,Setare Inc
3640101,10/11/2019 04:45:00 PM,540,1.2,32,8,Taxi Affiliation Services
3640102,10/11/2019 04:45:00 PM,360,0.9,8,8,Taxi Affiliation Services
3640103,10/11/2019 04:45:00 PM,429,0.73,32,32,City Service
3640104,10/11/2019 04:45:00 PM,545,1.06,22,22,Flash Cab
3640105,10/11/2019 04:45:00 PM,300,0.7,32,32,Taxi Affiliation Services
3640106,10/11/2019 05:00:00 PM,2055,10.03,70,31,Flash Cab
3640107,10/11/2019 05:00:00 PM,572,1.62,6,6,Flash Cab
3640108,10/11/2019 05:00:00 PM,2940,10.2,59,30,Medallion Leasin
3640109,10/11/2019 05:00:00 PM,310,0.94,28,28,Sun Taxi
3640110,10/11/2019 05:00:00 PM,540,1.3,32,28,Choice Taxi Association
3640111,10/11/2019 05:00:00 PM,398,0.7,32,28,Chicago Taxicab
3640112,10/11/2019 05:00:00 PM,492,0.84,32,32,Sun Taxi
3640113,10/11/2019 05:00:00 PM,360,1.3,32,32,Star North Management LLC
3640114,10/11/2019 05:00:00 PM,300,0.7,8,8,Taxi Affiliation Services
3640115,10/11/2019 05:00:00 PM,313,0.75,8,8,Patriot Taxi Dba Peace Taxi Associat
3640116,10/11/2019 05:00:00 PM,360,1.0,32,32,Taxi Affiliation Services
3640117,10/11/2019 05:00:00 PM,480,0.9,32,28,Choice Taxi Association
3640118,10/11/2019 05:00:00 PM,420,1.8,77,3,Choice Taxi Association
3640119,10/11/2019 05:00:00 PM,580,1.51,28,28,Sun Taxi
3640120,10/11/2019 05:00:00 PM,347,0.99,49,49,Flash Cab
3640121,10/11/2019 05:00:00 PM,492,0.88,28,32,Sun Taxi
3640122,10/11/2019 05:00:00 PM,4560,1.0,76,7,Taxi Affiliation Services
3640123,10/11/2019 05:00:00 PM,463,0.77,32,8,Chicago Carriage Cab Corp
3640124,10/11/2019 05:00:00 PM,300,0.6,32,8,"Taxicab Insurance Agency, LLC"
3640125,10/11/2019 05:00:00 PM,4500,0.9,76,7,Blue Ribbon Taxi Association Inc.
3640126,10/11/2019 05:00:00 PM,360,0.6,8,8,Star North Management LLC
3640127,10/11/2019 05:00:00 PM,240,0.8,28,28,Top Cab Affiliation
3640128,10/11/2019 05:00:00 PM,540,1.0,28,32,Taxi Affiliation Services
3640129,10/11/2019 05:00:00 PM,281,0.68,8,24,Chicago Carriage Cab Corp
3640130,10/11/2019 05:00:00 PM,419,0.7,8,8,City Service
3640131,10/11/2019 05:00:00 PM,565,1.3,28,28,City Service
3640132,10/11/2019 05:00:00 PM,487,0.88,33,34,Chicago Carriage Cab Corp
3640133,10/11/2019 05:00:00 PM,300,0.6,8,32,Taxi Affiliation Services
3640134,10/11/2019 05:00:00 PM,360,0.8,32,28,Taxi Affiliation Services
3640135,10/11/2019 05:00:00 PM,308,0.7,8,8,Flash Cab
3640136,10/11/2019 05:00:00 PM,535,0.55,8,8,Sun Taxi
3640137,10/11/2019 05:00:00 PM,420,0.7,32,32,Taxi Affiliation Services
3640138,10/11/2019 05:00:00 PM,300,0.6,32,32,Taxi Affiliation Services
3640139,10/11/2019 05:00:00 PM,3540,0.9,76,77,Taxi Affiliation Services
3640140,10/11/2019 05:00:00 PM,540,1.3,32,24,Star North Management LLC
3640141,10/11/2019 05:00:00 PM,507,0.9,32,8,Metro Jet Taxi A
3640142,10/11/2019 05:00:00 PM,419,0.73,8,8,24 Seven Taxi
3640143,10/11/2019 05:00:00 PM,420,0.7,8,32,Star North Management LLC
3640144,10/11/2019 05:00:00 PM,355,0.54,32,32,City Service
3640145,10/11/2019 05:00:00 PM,306,0.66,8,8,Sun Taxi
3640146,10/11/2019 05:00:00 PM,525,0.91,32,28,Chicago Carriage Cab Corp
3640147,10/11/2019 05:00:00 PM,469,0.85,8,8,Chicago Carriage Cab Corp
3640148,10/11/2019 05:00:00 PM,467,1.11,32,8,Chicago Carriage Cab Corp
3640149,10/11/2019 05:00:00 PM,240,0.7,32,32,Chicago Independents
3640150,10/11/2019 05:00:00 PM,2961,10.97,56,24,Chicago Carriage Cab Corp
3640151,10/11/2019 05:00:00 PM,499,0.8,32,32,Medallion Leasin
3640152,10/11/2019 05:00:00 PM,350,0.92,32,33,Chicago Carriage Cab Corp
3640153,10/11/2019 05:00:00 PM,266,0.59,28,28,Sun Taxi
3640154,10/11/2019 05:00:00 PM,3960,10.5,32,56,Top Cab Affiliation
3640155,10/11/2019 05:00:00 PM,270,0.6,32,28,Sun Taxi
3640156,10/11/2019 05:00:00 PM,300,1.0,32,8,Taxi Affiliation Services
3640157,10/11/2019 05:00:00 PM,540,1.2,32,28,Taxi Affiliation Services
3640158,10/11/2019 05:00:00 PM,378,0.96,8,8,Sun Taxi
3640159,10/11/2019 05:00:00 PM,408,0.8,32,32,Medallion Leasin
3640160,10/11/2019 05:00:00 PM,360,0.7,8,8,Top Cab Affiliation
3640161,10/11/2019 05:00:00 PM,480,0.7,8,32,Chicago Medallion Management
3640162,10/11/2019 05:00:00 PM,3420,10.4,28,56,5006 - 39261 Salifu Bawa
3640163,10/11/2019 05:00:00 PM,557,1.2,8,28,Medallion Leasin
3640164,10/11/2019 05:00:00 PM,240,0.6,32,28,"Taxicab Insurance Agency, LLC"
3640165,10/11/2019 05:00:00 PM,391,0.96,8,8,Taxi Affiliation Service Yellow
3640166,10/11/2019 05:00:00 PM,2912,10.6,56,32,Chicago Independents
3640167,10/11/2019 05:00:00 PM,554,1.18,8,8,Chicago Carriage Cab Corp
3640168,10/11/2019 05:00:00 PM,480,0.9,32,8,Taxi Affiliation Services
3640169,10/11/2019 05:00:00 PM,300,0.87,28,32,Nova Taxi Affiliation Llc
3640170,10/11/2019 05:00:00 PM,300,0.9,8,32,Taxi Affiliation Services
3640171,10/11/2019 05:00:00 PM,563,0.73,32,28,Flash Cab
3640172,10/11/2019 05:00:00 PM,300,0.8,32,8,Taxi Affiliation Services
3640173,10/11/2019 05:00:00 PM,2277,10.06,56,28,Chicago Carriage Cab Corp
3640174,10/11/2019 05:00:00 PM,360,0.6,32,32,Taxi Affiliation Services
3640175,10/11/2019 05:00:00 PM,298,0.53,32,32,Flash Cab
3640176,10/11/2019 05:00:00 PM,534,1.21,32,28,Patriot Taxi Dba Peace Taxi Associat
3640177,10/11/2019 05:00:00 PM,534,1.3,8,8,Medallion Leasin
3640178,10/11/2019 05:00:00 PM,584,0.76,32,32,24 Seven Taxi
3640179,10/11/2019 05:00:00 PM,540,1.3,32,28,Star North Management LLC
3640180,10/11/2019 05:00:00 PM,343,0.53,32,28,City Service
3640181,10/11/2019 05:00:00 PM,540,1.3,8,28,Taxi Affiliation Services
3640182,10/11/2019 05:00:00 PM,431,0.7,8,8,Chicago Carriage Cab Corp
3640183,10/11/2019 05:00:00 PM,468,0.83,8,8,Chicago Carriage Cab Corp
3640184,10/11/2019 05:00:00 PM,536,1.43,32,28,Sun Taxi
3640185,10/11/2019 05:00:00 PM,240,0.6,28,32,Choice Taxi Association
3640186,10/11/2019 05:00:00 PM,5580,1.0,76,8,Taxi Affiliation Services
3640187,10/11/2019 05:00:00 PM,364,1.19,32,28,Chicago Carriage Cab Corp
3640188,10/11/2019 05:00:00 PM,290,0.54,32,28,Flash Cab
3640189,10/11/2019 05:00:00 PM,552,0.8,22,22,Flash Cab
3640190,10/11/2019 05:00:00 PM,540,1.0,8,28,Choice Taxi Association
3640191,10/11/2019 05:00:00 PM,546,1.09,32,33,Sun Taxi
3640192,10/11/2019 05:00:00 PM,540,0.9,32,8,Taxi Affiliation Services
3640193,10/11/2019 05:00:00 PM,555,0.91,8,32,Chicago Carriage Cab Corp
3640194,10/11/2019 05:00:00 PM,420,0.9,32,28,Choice Taxi Association
3640195,10/11/2019 05:00:00 PM,284,0.67,32,8,Sun Taxi
3640196,10/11/2019 05:00:00 PM,480,0.8,32,32,Taxi Affiliation Services
3640197,10/11/2019 05:00:00 PM,4260,1.2,76,8,Taxi Affiliation Services
3640198,10/11/2019 05:00:00 PM,540,0.7,8,8,Taxi Affiliation Services
3640199,10/11/2019 05:00:00 PM,527,0.78,28,32,Chicago Independents
3640200,10/11/2019 05:00:00 PM,537,0.7,28,32,City Service
3640201,10/11/2019 05:00:00 PM,447,0.71,8,32,Sun Taxi
3640202,10/11/2019 05:00:00 PM,592,0.94,28,32,24 Seven Taxi
3640203,10/11/2019 05:00:00 PM,480,1.5,28,28,Medallion Leasin
3640204,10/11/2019 05:00:00 PM,576,0.66,32,32,Sun Taxi
3640205,10/11/2019 05:00:00 PM,420,0.8,32,8,Taxi Affiliation Services
3640206,10/11/2019 05:00:00 PM,480,0.9,8,32,Choice Taxi Association
3640207,10/11/2019 05:00:00 PM,480,0.7,32,28,Medallion Leasin
3640208,10/11/2019 05:00:00 PM,2929,10.12,11,77,Flash Cab
3640209,10/11/2019 05:00:00 PM,420,1.7,8,8,Star North Management LLC
3640210,10/11/2019 05:00:00 PM,491,0.81,8,8,Sun Taxi
3640211,10/11/2019 05:00:00 PM,206,0.67,8,8,Sun Taxi
3640212,10/11/2019 05:00:00 PM,540,1.6,8,32,Star North Management LLC
3640213,10/11/2019 05:00:00 PM,493,0.54,32,32,Flash Cab
3640214,10/11/2019 05:00:00 PM,480,0.9,32,8,Star North Management LLC
3640215,10/11/2019 05:00:00 PM,360,0.57,32,32,Nova Taxi Affiliation Llc
3640216,10/11/2019 05:00:00 PM,360,0.69,8,8,Nova Taxi Affiliation Llc
3640217,10/11/2019 05:00:00 PM,480,0.6,8,8,KOAM Taxi Association
3640218,10/11/2019 05:00:00 PM,480,0.9,32,32,"Taxicab Insurance Agency, LLC"
3640219,10/11/2019 05:00:00 PM,480,0.9,32,28,Medallion Leasin
3640220,10/11/2019 05:00:00 PM,360,0.9,8,8,Taxi Affiliation Services
3640221,10/11/2019 05:00:00 PM,240,0.7,32,28,Taxi Affiliation Services
3640222,10/11/2019 05:00:00 PM,360,0.6,32,28,Taxi Affiliation Services
3640223,10/11/2019 05:00:00 PM,512,0.8,28,28,Nova Taxi Affiliation Llc
3640224,10/11/2019 05:00:00 PM,232,0.74,6,6,Chicago Carriage Cab Corp
3640225,10/11/2019 05:00:00 PM,3058,0.9,8,8,Flash Cab
3640226,10/11/2019 05:00:00 PM,420,0.6,32,8,Star North Management LLC
3640227,10/11/2019 05:00:00 PM,297,0.64,32,28,Chicago Independents
3640228,10/11/2019 05:00:00 PM,480,1.3,32,32,Taxi Affiliation Services
3640229,10/11/2019 05:00:00 PM,396,0.7,28,28,City Service
3640230,10/11/2019 05:00:00 PM,2830,10.31,56,24,Sun Taxi
3640231,10/11/2019 05:00:00 PM,300,0.6,32,32,Taxi Affiliation Services
3640232,10/11/2019 05:00:00 PM,480,1.5,32,8,Taxi Affiliation Services
3640233,10/11/2019 05:00:00 PM,540,1.4,8,8,"Taxicab Insurance Agency, LLC"
3640234,10/11/2019 05:00:00 PM,360,0.9,8,7,Taxi Affiliation Services
3640235,10/11/2019 05:00:00 PM,518,1.25,22,24,Chicago Carriage Cab Corp
3640236,10/11/2019 05:00:00 PM,360,0.7,32,32,Star North Management LLC
3640237,10/11/2019 05:00:00 PM,2812,10.36,56,28,Flash Cab
3640238,10/11/2019 05:00:00 PM,300,0.61,8,8,Sun Taxi
3640239,10/11/2019 05:00:00 PM,352,0.75,32,32,Sun Taxi
3640240,10/11/2019 05:00:00 PM,437,1.59,28,31,Flash Cab
3640241,10/11/2019 05:00:00 PM,480,1.0,32,32,Star North Management LLC
3640242,10/11/2019 05:00:00 PM,540,1.11,24,22,Sun Taxi
3640243,10/11/2019 05:00:00 PM,300,0.7,8,8,Taxi Affiliation Services
3640244,10/11/2019 05:00:00 PM,2820,0.8,56,32,Blue Ribbon Taxi Association Inc.
3640245,10/11/2019 05:00:00 PM,420,0.9,8,8,Top Cab Affiliation
3640246,10/11/2019 05:00:00 PM,360,0.8,8,28,Taxi Affiliation Services
3640247,10/11/2019 05:00:00 PM,596,0.8,28,8,Taxi Affiliation Service Yellow
3640248,10/11/2019 05:00:00 PM,412,0.9,32,28,Medallion Leasin
3640249,10/11/2019 05:00:00 PM,247,0.59,8,8,City Service
3640250,10/11/2019 05:00:00 PM,360,1.8,76,76,Taxi Affiliation Services
3640251,10/11/2019 05:00:00 PM,540,1.7,32,34,Taxi Affiliation Services
3640252,10/11/2019 05:00:00 PM,535,1.29,32,8,Sun Taxi
3640253,10/11/2019 05:00:00 PM,466,1.24,32,28,Chicago Carriage Cab Corp
3640254,10/11/2019 05:00:00 PM,496,0.6,32,32,Medallion Leasin
3640255,10/11/2019 05:00:00 PM,540,1.5,8,28,KOAM Taxi Association
3640256,10/11/2019 05:00:00 PM,540,0.6,8,8,Medallion Leasin
3640257,10/11/2019 05:00:00 PM,300,0.7,28,28,Taxi Affiliation Services
3640258,10/11/2019 05:00:00 PM,564,1.98,76,76,Nova Taxi Affiliation Llc
3640259,10/11/2019 05:00:00 PM,420,1.0,28,32,Taxi Affiliation Services
3640260,10/11/2019 05:00:00 PM,300,0.7,32,8,Choice Taxi Association
3640261,10/11/2019 05:00:00 PM,540,1.5,28,8,Taxi Affiliation Services
3640262,10/11/2019 05:00:00 PM,274,0.63,8,8,Patriot Taxi Dba Peace Taxi Associat
3640263,10/11/2019 05:00:00 PM,2210,10.82,76,13,Nova Taxi Affiliation Llc
3640264,10/11/2019 05:00:00 PM,480,0.8,32,32,Star North Management LLC
3640265,10/11/2019 05:00:00 PM,480,1.5,5,21,Taxi Affiliation Services
3640266,10/11/2019 05:00:00 PM,559,1.7,3,6,Metro Jet Taxi A
3640267,10/11/2019 05:00:00 PM,300,0.7,32,32,Star North Management LLC
3640268,10/11/2019 05:00:00 PM,540,0.7,8,8,Taxi Affiliation Services
3640269,10/11/2019 05:00:00 PM,292,0.57,28,32,Chicago Carriage Cab Corp
3640270,10/11/2019 05:00:00 PM,2468,10.31,28,44,Flash Cab
3640271,10/11/2019 05:00:00 PM,540,1.2,8,8,Medallion Leasin
3640272,10/11/2019 05:00:00 PM,477,1.1,32,28,Chicago Carriage Cab Corp
3640273,10/11/2019 05:00:00 PM,5340,1.8,76,56,Taxi Affiliation Services
3640274,10/11/2019 05:00:00 PM,470,1.24,32,8,Sun Taxi
3640275,10/11/2019 05:00:00 PM,563,1.32,28,8,Sun Taxi
3640276,10/11/2019 05:00:00 PM,375,0.6,32,32,Chicago Taxicab
3640277,10/11/2019 05:00:00 PM,540,1.1,32,32,Taxi Affiliation Services
3640278,10/11/2019 05:00:00 PM,360,0.9,32,8,Taxi Affiliation Services
3640279,10/11/2019 05:00:00 PM,480,1.5,8,8,Star North Management LLC
3640280,10/11/2019 05:00:00 PM,360,0.9,28,28,Taxi Affiliation Services
3640281,10/11/2019 05:00:00 PM,480,0.8,32,32,Medallion Leasin
3640282,10/11/2019 05:00:00 PM,220,0.61,32,32,Chicago Carriage Cab Corp
3640283,10/11/2019 05:00:00 PM,540,1.3,8,32,Taxi Affiliation Services
3640284,10/11/2019 05:00:00 PM,300,0.6,32,32,Taxi Affiliation Services
3640285,10/11/2019 05:00:00 PM,580,0.88,33,33,Chicago Carriage Cab Corp
3640286,10/11/2019 05:00:00 PM,432,1.64,7,6,Chicago Carriage Cab Corp
3640287,10/11/2019 05:00:00 PM,360,0.6,8,32,Top Cab Affiliation
3640288,10/11/2019 05:00:00 PM,480,0.8,8,8,Medallion Leasin
3640289,10/11/2019 05:00:00 PM,420,0.51,8,8,Chicago Carriage Cab Corp
3640290,10/11/2019 05:00:00 PM,473,0.66,32,8,Flash Cab
3640291,10/11/2019 05:00:00 PM,360,0.7,32,32,Choice Taxi Association
3640292,10/11/2019 05:00:00 PM,395,0.7,8,8,City Service
3640293,10/11/2019 05:00:00 PM,323,0.9,32,32,Medallion Leasin
3640294,10/11/2019 05:00:00 PM,573,0.79,8,8,City Service
3640295,10/11/2019 05:00:00 PM,415,0.8,32,28,Chicago Taxicab
3640296,10/11/2019 05:00:00 PM,360,1.0,32,28,Taxi Affiliation Services
3640297,10/11/2019 05:00:00 PM,364,0.73,8,8,Chicago Carriage Cab Corp
3640298,10/11/2019 05:00:00 PM,480,0.8,8,8,Taxi Affiliation Services
3640299,10/11/2019 05:00:00 PM,5220,1.0,76,6,Taxi Affiliation Services
3640300,10/11/2019 05:00:00 PM,294,0.6,8,7,City Service
3640301,10/11/2019 05:00:00 PM,420,0.6,8,8,Taxi Affiliation Services
3640302,10/11/2019 05:00:00 PM,369,1.29,6,6,Flash Cab
3640303,10/11/2019 05:00:00 PM,360,1.0,8,8,Star North Management LLC
3640304,10/11/2019 05:00:00 PM,3420,1.0,8,76,Taxi Affiliation Services
3640305,10/11/2019 05:00:00 PM,277,0.65,8,8,Sun Taxi
3640306,10/11/2019 05:00:00 PM,421,0.91,28,28,Chicago Independents
3640307,10/11/2019 05:00:00 PM,409,0.64,32,32,Nova Taxi Affiliation Llc
3640308,10/11/2019 05:00:00 PM,576,1.3,28,8,Leonard Cab Co
3640309,10/11/2019 05:00:00 PM,240,0.8,8,8,Medallion Leasin
3640310,10/11/2019 05:00:00 PM,537,0.78,32,8,Nova Taxi Affiliation Llc
3640311,10/11/2019 05:00:00 PM,538,1.09,28,8,Chicago Independents
3640312,10/11/2019 05:00:00 PM,2960,1.97,8,32,Chicago Carriage Cab Corp
3640313,10/11/2019 05:00:00 PM,463,0.81,32,28,Chicago Carriage Cab Corp
3640314,10/11/2019 05:00:00 PM,540,0.7,8,8,Medallion Leasin
3640315,10/11/2019 05:00:00 PM,466,0.88,28,28,Flash Cab
3640316,10/11/2019 05:00:00 PM,217,0.57,8,8,24 Seven Taxi
3640317,10/11/2019 05:00:00 PM,401,0.76,28,28,Sun Taxi
3640318,10/11/2019 05:00:00 PM,363,0.68,8,8,Flash Cab
3640319,10/11/2019 05:00:00 PM,5280,1.0,76,8,Taxi Affiliation Services
3640320,10/11/2019 05:00:00 PM,256,0.55,32,32,Chicago Carriage Cab Corp
3640321,10/11/2019 05:00:00 PM,360,0.7,6,6,City Service
3640322,10/11/2019 05:00:00 PM,355,0.53,32,32,Flash Cab
3640323,10/11/2019 05:00:00 PM,497,0.7,32,28,City Service
3640324,10/11/2019 05:00:00 PM,240,0.7,28,28,Taxi Affiliation Services
3640325,10/11/2019 05:00:00 PM,240,0.6,8,8,"Taxicab Insurance Agency, LLC"
3640326,10/11/2019 05:00:00 PM,463,0.9,8,32,Chicago Carriage Cab Corp
3640327,10/11/2019 05:00:00 PM,240,0.6,32,32,Top Cab Affiliation
3640328,10/11/2019 05:00:00 PM,480,0.7,8,32,KOAM Taxi Association
3640329,10/11/2019 05:00:00 PM,472,1.26,7,7,City Service
3640330,10/11/2019 05:00:00 PM,480,1.3,8,28,"Taxicab Insurance Agency, LLC"
3640331,10/11/2019 05:00:00 PM,503,0.67,8,8,Chicago Carriage Cab Corp
3640332,10/11/2019 05:00:00 PM,468,0.99,32,28,Chicago Carriage Cab Corp
3640333,10/11/2019 05:00:00 PM,420,0.7,32,32,Choice Taxi Association
3640334,10/11/2019 05:00:00 PM,540,1.1,8,8,Taxi Affiliation Services
3640335,10/11/2019 05:00:00 PM,480,1.3,8,8,Choice Taxi Association
3640336,10/11/2019 05:00:00 PM,367,0.6,32,32,City Service
3640337,10/11/2019 05:15:00 PM,360,0.7,32,8,Choice Taxi Association
3640338,10/11/2019 05:15:00 PM,540,1.1,8,8,"Taxicab Insurance Agency, LLC"
3640339,10/11/2019 05:15:00 PM,333,1.08,13,14,Flash Cab
3640340,10/11/2019 05:15:00 PM,344,0.84,7,8,Chicago Carriage Cab Corp
