,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
4100000,11/18/2019 07:45:00 AM,385,0.94,8,32,Patriot Taxi Dba Peace Taxi Associat
4100001,11/18/2019 07:45:00 AM,300,0.7,32,32,"Taxicab Insurance Agency, LLC"
4100002,11/18/2019 07:45:00 AM,480,1.5,8,32,Top Cab Affiliation
4100003,11/18/2019 07:45:00 AM,420,0.9,8,32,Medallion Leasin
4100004,11/18/2019 07:45:00 AM,284,1.32,8,8,Chicago Carriage Cab Corp
4100005,11/18/2019 07:45:00 AM,380,1.23,32,28,Chicago Carriage Cab Corp
4100006,11/18/2019 07:45:00 AM,503,1.46,8,32,Flash Cab
4100007,11/18/2019 07:45:00 AM,480,1.8,8,8,Medallion Leasin
4100008,11/18/2019 07:45:00 AM,282,0.99,28,32,City Service
4100009,11/18/2019 07:45:00 AM,569,1.5,8,28,Chicago Independents
4100010,11/18/2019 07:45:00 AM,300,0.8,28,32,Taxi Affiliation Services
4100011,11/18/2019 07:45:00 AM,443,1.21,8,32,Chicago Carriage Cab Corp
4100012,11/18/2019 07:45:00 AM,209,0.59,32,32,City Service
4100013,11/18/2019 07:45:00 AM,240,1.1,32,32,Star North Management LLC
4100014,11/18/2019 07:45:00 AM,436,1.6,8,32,City Service
4100015,11/18/2019 07:45:00 AM,355,1.0,28,28,City Service
4100016,11/18/2019 07:45:00 AM,420,0.8,6,77,Medallion Leasin
4100017,11/18/2019 07:45:00 AM,406,0.81,28,28,Nova Taxi Affiliation Llc
4100018,11/18/2019 07:45:00 AM,358,1.78,32,33,Chicago Carriage Cab Corp
4100019,11/18/2019 07:45:00 AM,243,0.76,8,8,Chicago Carriage Cab Corp
4100020,11/18/2019 07:45:00 AM,393,1.04,32,8,Flash Cab
4100021,11/18/2019 07:45:00 AM,514,1.59,8,28,Nova Taxi Affiliation Llc
4100022,11/18/2019 07:45:00 AM,420,1.13,28,8,Nova Taxi Affiliation Llc
4100023,11/18/2019 07:45:00 AM,445,0.72,32,8,Sun Taxi
4100024,11/18/2019 07:45:00 AM,403,1.47,32,33,Flash Cab
4100025,11/18/2019 07:45:00 AM,502,1.31,1,1,Flash Cab
4100026,11/18/2019 07:45:00 AM,308,0.96,32,8,Flash Cab
4100027,11/18/2019 07:45:00 AM,316,0.95,28,32,City Service
4100028,11/18/2019 07:45:00 AM,217,0.6,32,32,Medallion Leasin
4100029,11/18/2019 07:45:00 AM,575,1.01,8,8,Flash Cab
4100030,11/18/2019 07:45:00 AM,360,1.1,32,28,"Taxicab Insurance Agency, LLC"
4100031,11/18/2019 07:45:00 AM,349,0.76,32,32,Patriot Taxi Dba Peace Taxi Associat
4100032,11/18/2019 07:45:00 AM,240,0.6,32,8,Taxi Affiliation Services
4100033,11/18/2019 07:45:00 AM,456,0.85,28,32,Chicago Carriage Cab Corp
4100034,11/18/2019 07:45:00 AM,369,0.96,28,8,Chicago Carriage Cab Corp
4100035,11/18/2019 07:45:00 AM,273,0.56,28,32,Flash Cab
4100036,11/18/2019 07:45:00 AM,242,0.69,28,32,Sun Taxi
4100037,11/18/2019 07:45:00 AM,2400,0.6,56,28,Taxi Affiliation Services
4100038,11/18/2019 07:45:00 AM,244,0.67,28,32,Chicago Carriage Cab Corp
4100039,11/18/2019 07:45:00 AM,328,0.65,6,6,Flash Cab
4100040,11/18/2019 07:45:00 AM,401,1.98,28,33,Chicago Carriage Cab Corp
4100041,11/18/2019 07:45:00 AM,247,0.67,32,28,Sun Taxi
4100042,11/18/2019 07:45:00 AM,271,1.2,8,32,City Service
4100043,11/18/2019 07:45:00 AM,240,0.7,28,32,Taxi Affiliation Services
4100044,11/18/2019 07:45:00 AM,300,1.0,32,28,Star North Management LLC
4100045,11/18/2019 07:45:00 AM,368,1.11,28,32,Chicago Carriage Cab Corp
4100046,11/18/2019 07:45:00 AM,440,1.2,32,32,Setare Inc
4100047,11/18/2019 07:45:00 AM,300,0.9,28,32,Star North Management LLC
4100048,11/18/2019 07:45:00 AM,355,0.88,28,28,24 Seven Taxi
4100049,11/18/2019 07:45:00 AM,300,0.9,28,32,Medallion Leasin
4100050,11/18/2019 07:45:00 AM,402,0.94,32,32,Chicago Carriage Cab Corp
4100051,11/18/2019 08:00:00 AM,475,1.58,7,8,Chicago Carriage Cab Corp
4100052,11/18/2019 08:00:00 AM,401,0.7,28,32,Flash Cab
4100053,11/18/2019 08:00:00 AM,398,0.8,32,32,Sun Taxi
4100054,11/18/2019 08:00:00 AM,481,1.75,33,8,Chicago Carriage Cab Corp
4100055,11/18/2019 08:00:00 AM,530,1.04,8,32,24 Seven Taxi
4100056,11/18/2019 08:00:00 AM,429,1.39,8,32,Patriot Taxi Dba Peace Taxi Associat
4100057,11/18/2019 08:00:00 AM,381,0.75,28,32,Chicago Carriage Cab Corp
4100058,11/18/2019 08:00:00 AM,531,0.97,28,32,Chicago Carriage Cab Corp
4100059,11/18/2019 08:00:00 AM,376,0.98,32,28,Sun Taxi
4100060,11/18/2019 08:00:00 AM,369,1.68,32,33,Sun Taxi
4100061,11/18/2019 08:00:00 AM,513,1.22,28,32,Chicago Carriage Cab Corp
4100062,11/18/2019 08:00:00 AM,240,0.6,28,32,Medallion Leasin
4100063,11/18/2019 08:00:00 AM,420,0.9,8,8,Medallion Leasin
4100064,11/18/2019 08:00:00 AM,338,0.58,28,32,City Service
4100065,11/18/2019 08:00:00 AM,420,0.8,8,32,Medallion Leasin
4100066,11/18/2019 08:00:00 AM,591,1.9,28,32,City Service
4100067,11/18/2019 08:00:00 AM,278,0.81,32,8,Chicago Carriage Cab Corp
4100068,11/18/2019 08:00:00 AM,540,1.5,8,8,Taxi Affiliation Services
4100069,11/18/2019 08:00:00 AM,417,1.1,28,28,Medallion Leasin
4100070,11/18/2019 08:00:00 AM,425,1.0,8,32,Medallion Leasin
4100071,11/18/2019 08:00:00 AM,372,0.71,8,8,Flash Cab
4100072,11/18/2019 08:00:00 AM,377,0.9,32,8,Setare Inc
4100073,11/18/2019 08:00:00 AM,266,1.0,8,8,Leonard Cab Co
4100074,11/18/2019 08:00:00 AM,373,0.89,32,8,24 Seven Taxi
4100075,11/18/2019 08:00:00 AM,352,0.8,28,32,Sun Taxi
4100076,11/18/2019 08:00:00 AM,466,1.23,32,32,Chicago Carriage Cab Corp
4100077,11/18/2019 08:00:00 AM,266,0.89,2,2,Flash Cab
4100078,11/18/2019 08:00:00 AM,251,0.76,32,32,Chicago Carriage Cab Corp
4100079,11/18/2019 08:00:00 AM,412,0.67,28,32,Flash Cab
4100080,11/18/2019 08:00:00 AM,594,1.3,28,32,Medallion Leasin
4100081,11/18/2019 08:00:00 AM,360,1.2,32,8,Taxi Affiliation Services
4100082,11/18/2019 08:00:00 AM,571,1.99,3,3,24 Seven Taxi
4100083,11/18/2019 08:00:00 AM,389,1.13,32,8,Sun Taxi
4100084,11/18/2019 08:00:00 AM,426,0.86,32,8,Chicago Carriage Cab Corp
4100085,11/18/2019 08:00:00 AM,300,0.8,28,8,Star North Management LLC
4100086,11/18/2019 08:00:00 AM,403,0.61,28,32,City Service
4100087,11/18/2019 08:00:00 AM,420,1.1,32,8,Medallion Leasin
4100088,11/18/2019 08:00:00 AM,515,1.16,32,28,Chicago Carriage Cab Corp
4100089,11/18/2019 08:00:00 AM,527,0.89,28,32,Nova Taxi Affiliation Llc
4100090,11/18/2019 08:00:00 AM,351,1.09,28,32,Chicago Carriage Cab Corp
4100091,11/18/2019 08:00:00 AM,530,1.34,8,8,Sun Taxi
4100092,11/18/2019 08:00:00 AM,480,1.7,28,32,Taxi Affiliation Services
4100093,11/18/2019 08:00:00 AM,480,1.1,8,32,Medallion Leasin
4100094,11/18/2019 08:00:00 AM,362,1.19,8,32,Chicago Carriage Cab Corp
4100095,11/18/2019 08:00:00 AM,480,1.74,8,24,Sun Taxi
4100096,11/18/2019 08:00:00 AM,420,1.3,28,32,Chicago Independents
4100097,11/18/2019 08:00:00 AM,480,1.5,8,32,Choice Taxi Association
4100098,11/18/2019 08:00:00 AM,363,0.82,28,32,Flash Cab
4100099,11/18/2019 08:00:00 AM,444,1.12,32,28,Flash Cab
4100100,11/18/2019 08:00:00 AM,500,1.11,28,32,Chicago Carriage Cab Corp
4100101,11/18/2019 08:00:00 AM,393,1.23,28,28,Flash Cab
4100102,11/18/2019 08:00:00 AM,586,1.68,32,8,City Service
4100103,11/18/2019 08:00:00 AM,457,0.91,8,32,City Service
4100104,11/18/2019 08:00:00 AM,573,1.16,28,8,Sun Taxi
4100105,11/18/2019 08:00:00 AM,297,0.94,32,28,Sun Taxi
4100106,11/18/2019 08:00:00 AM,327,0.84,32,32,24 Seven Taxi
4100107,11/18/2019 08:00:00 AM,480,1.2,8,32,Medallion Leasin
4100108,11/18/2019 08:00:00 AM,453,1.58,32,8,Chicago Carriage Cab Corp
4100109,11/18/2019 08:00:00 AM,480,1.5,28,28,Medallion Leasin
4100110,11/18/2019 08:00:00 AM,338,1.0,8,32,Chicago Carriage Cab Corp
4100111,11/18/2019 08:00:00 AM,349,0.56,32,32,Chicago Carriage Cab Corp
4100112,11/18/2019 08:00:00 AM,234,0.69,8,8,Chicago Carriage Cab Corp
4100113,11/18/2019 08:00:00 AM,353,0.98,32,32,Sun Taxi
4100114,11/18/2019 08:00:00 AM,363,0.77,32,28,Chicago Carriage Cab Corp
4100115,11/18/2019 08:00:00 AM,460,1.12,28,32,Nova Taxi Affiliation Llc
4100116,11/18/2019 08:00:00 AM,262,0.61,32,28,Flash Cab
4100117,11/18/2019 08:00:00 AM,224,0.7,8,32,Setare Inc
4100118,11/18/2019 08:00:00 AM,406,0.92,28,32,Chicago Carriage Cab Corp
4100119,11/18/2019 08:00:00 AM,480,1.4,8,32,Medallion Leasin
4100120,11/18/2019 08:00:00 AM,432,1.0,28,28,City Service
4100121,11/18/2019 08:00:00 AM,3021,10.62,56,32,City Service
4100122,11/18/2019 08:00:00 AM,503,1.36,32,8,Patriot Taxi Dba Peace Taxi Associat
4100123,11/18/2019 08:00:00 AM,411,0.9,3,77,City Service
4100124,11/18/2019 08:00:00 AM,407,0.82,32,32,Flash Cab
4100125,11/18/2019 08:00:00 AM,547,1.29,28,32,Chicago Carriage Cab Corp
4100126,11/18/2019 08:00:00 AM,581,1.31,28,32,Chicago Carriage Cab Corp
4100127,11/18/2019 08:00:00 AM,522,1.16,28,28,Sun Taxi
4100128,11/18/2019 08:00:00 AM,363,0.6,32,32,City Service
4100129,11/18/2019 08:00:00 AM,381,0.83,32,8,Chicago Carriage Cab Corp
4100130,11/18/2019 08:00:00 AM,312,0.97,32,32,Sun Taxi
4100131,11/18/2019 08:00:00 AM,463,0.87,28,32,Sun Taxi
4100132,11/18/2019 08:00:00 AM,378,0.98,8,8,Flash Cab
4100133,11/18/2019 08:00:00 AM,243,0.68,28,32,Flash Cab
4100134,11/18/2019 08:00:00 AM,408,0.8,8,32,Flash Cab
4100135,11/18/2019 08:00:00 AM,284,0.83,32,32,Sun Taxi
4100136,11/18/2019 08:00:00 AM,458,0.83,32,28,Flash Cab
4100137,11/18/2019 08:00:00 AM,300,1.07,33,32,Chicago Carriage Cab Corp
4100138,11/18/2019 08:00:00 AM,235,0.8,32,32,Chicago Carriage Cab Corp
4100139,11/18/2019 08:00:00 AM,406,1.13,32,8,Sun Taxi
4100140,11/18/2019 08:00:00 AM,502,1.28,8,32,Sun Taxi
4100141,11/18/2019 08:00:00 AM,333,1.04,32,8,Chicago Carriage Cab Corp
4100142,11/18/2019 08:00:00 AM,317,0.76,1,1,Flash Cab
4100143,11/18/2019 08:00:00 AM,240,0.7,28,32,Star North Management LLC
4100144,11/18/2019 08:00:00 AM,312,0.89,28,32,Chicago Carriage Cab Corp
4100145,11/18/2019 08:00:00 AM,404,0.8,8,32,Chicago Taxicab
4100146,11/18/2019 08:00:00 AM,435,1.03,8,32,City Service
4100147,11/18/2019 08:00:00 AM,375,0.83,8,32,Chicago Carriage Cab Corp
4100148,11/18/2019 08:00:00 AM,300,0.52,28,32,Chicago Carriage Cab Corp
4100149,11/18/2019 08:00:00 AM,261,0.54,28,32,Chicago Carriage Cab Corp
4100150,11/18/2019 08:00:00 AM,549,1.23,28,8,Flash Cab
4100151,11/18/2019 08:00:00 AM,393,0.68,32,32,Chicago Carriage Cab Corp
4100152,11/18/2019 08:00:00 AM,280,0.94,32,32,Chicago Carriage Cab Corp
4100153,11/18/2019 08:00:00 AM,579,1.3,8,8,Sun Taxi
4100154,11/18/2019 08:00:00 AM,561,1.4,32,32,Medallion Leasin
4100155,11/18/2019 08:00:00 AM,346,0.76,8,28,Flash Cab
4100156,11/18/2019 08:00:00 AM,3780,1.1,76,32,Blue Ribbon Taxi Association Inc.
4100157,11/18/2019 08:00:00 AM,579,1.35,32,28,Sun Taxi
4100158,11/18/2019 08:00:00 AM,470,1.61,8,8,Chicago Carriage Cab Corp
4100159,11/18/2019 08:00:00 AM,240,0.6,32,28,Chicago Medallion Management
4100160,11/18/2019 08:00:00 AM,240,0.7,32,8,Medallion Leasin
4100161,11/18/2019 08:00:00 AM,386,0.85,8,32,Patriot Taxi Dba Peace Taxi Associat
4100162,11/18/2019 08:00:00 AM,300,0.7,28,28,"Taxicab Insurance Agency, LLC"
4100163,11/18/2019 08:00:00 AM,591,1.2,28,8,Chicago Taxicab
4100164,11/18/2019 08:00:00 AM,511,1.2,32,8,Chicago Carriage Cab Corp
4100165,11/18/2019 08:00:00 AM,574,1.19,32,8,Sun Taxi
4100166,11/18/2019 08:00:00 AM,318,0.65,32,32,Chicago Carriage Cab Corp
4100167,11/18/2019 08:00:00 AM,355,0.75,28,32,Sun Taxi
4100168,11/18/2019 08:00:00 AM,360,1.0,32,32,6574 - Babylon Express Inc.
4100169,11/18/2019 08:00:00 AM,333,0.93,8,8,Patriot Taxi Dba Peace Taxi Associat
4100170,11/18/2019 08:00:00 AM,300,0.87,32,32,Chicago Carriage Cab Corp
4100171,11/18/2019 08:00:00 AM,300,0.8,32,28,Star North Management LLC
4100172,11/18/2019 08:00:00 AM,300,0.8,8,32,Medallion Leasin
4100173,11/18/2019 08:00:00 AM,288,0.8,32,32,Medallion Leasin
4100174,11/18/2019 08:00:00 AM,409,0.71,32,32,Chicago Carriage Cab Corp
4100175,11/18/2019 08:00:00 AM,300,0.9,28,28,Taxi Affiliation Services
4100176,11/18/2019 08:00:00 AM,452,1.04,28,32,Flash Cab
4100177,11/18/2019 08:00:00 AM,540,0.9,28,8,Medallion Leasin
4100178,11/18/2019 08:00:00 AM,380,0.8,32,8,Chicago Independents
4100179,11/18/2019 08:00:00 AM,567,1.32,28,32,Chicago Carriage Cab Corp
4100180,11/18/2019 08:00:00 AM,548,1.48,8,28,Sun Taxi
4100181,11/18/2019 08:00:00 AM,404,0.77,32,32,Chicago Carriage Cab Corp
4100182,11/18/2019 08:00:00 AM,300,1.1,8,8,"Taxicab Insurance Agency, LLC"
4100183,11/18/2019 08:00:00 AM,240,0.8,32,8,Taxi Affiliation Services
4100184,11/18/2019 08:00:00 AM,262,0.7,8,32,Medallion Leasin
4100185,11/18/2019 08:00:00 AM,360,0.9,32,28,Taxi Affiliation Services
4100186,11/18/2019 08:00:00 AM,285,0.6,32,32,Setare Inc
4100187,11/18/2019 08:00:00 AM,504,1.15,28,8,City Service
4100188,11/18/2019 08:00:00 AM,258,0.62,3,3,Flash Cab
4100189,11/18/2019 08:00:00 AM,326,0.7,32,28,Chicago Carriage Cab Corp
4100190,11/18/2019 08:00:00 AM,300,0.6,32,32,Medallion Leasin
4100191,11/18/2019 08:00:00 AM,366,0.7,32,32,Chicago Independents
4100192,11/18/2019 08:00:00 AM,420,1.7,33,32,Taxi Affiliation Services
4100193,11/18/2019 08:00:00 AM,493,1.01,8,32,24 Seven Taxi
4100194,11/18/2019 08:00:00 AM,362,0.83,28,32,Flash Cab
4100195,11/18/2019 08:00:00 AM,561,1.15,32,8,Sun Taxi
4100196,11/18/2019 08:00:00 AM,329,0.6,28,28,Medallion Leasin
4100197,11/18/2019 08:00:00 AM,215,0.74,33,33,Nova Taxi Affiliation Llc
4100198,11/18/2019 08:00:00 AM,290,0.78,32,32,City Service
4100199,11/18/2019 08:00:00 AM,475,0.86,28,8,Sun Taxi
4100200,11/18/2019 08:00:00 AM,495,1.25,32,8,Flash Cab
4100201,11/18/2019 08:00:00 AM,210,0.52,32,32,Nova Taxi Affiliation Llc
4100202,11/18/2019 08:00:00 AM,464,1.18,32,28,Sun Taxi
4100203,11/18/2019 08:00:00 AM,300,0.6,8,8,Taxi Affiliation Services
4100204,11/18/2019 08:00:00 AM,306,0.83,28,32,Nova Taxi Affiliation Llc
4100205,11/18/2019 08:00:00 AM,360,1.4,28,2,Medallion Leasin
4100206,11/18/2019 08:00:00 AM,365,0.95,32,32,Flash Cab
4100207,11/18/2019 08:00:00 AM,184,0.67,8,8,Flash Cab
4100208,11/18/2019 08:00:00 AM,530,1.14,28,32,Flash Cab
4100209,11/18/2019 08:00:00 AM,2400,0.7,56,32,Taxi Affiliation Services
4100210,11/18/2019 08:00:00 AM,490,1.2,8,8,Medallion Leasin
4100211,11/18/2019 08:00:00 AM,2304,10.63,72,51,Flash Cab
4100212,11/18/2019 08:00:00 AM,360,1.1,8,8,Taxi Affiliation Services
4100213,11/18/2019 08:00:00 AM,549,0.9,28,32,Chicago Independents
4100214,11/18/2019 08:00:00 AM,480,1.1,28,8,Medallion Leasin
4100215,11/18/2019 08:00:00 AM,330,0.65,32,32,Chicago Carriage Cab Corp
4100216,11/18/2019 08:00:00 AM,448,0.8,28,32,City Service
4100217,11/18/2019 08:00:00 AM,300,0.6,28,32,Top Cab Affiliation
4100218,11/18/2019 08:00:00 AM,373,0.7,28,32,City Service
4100219,11/18/2019 08:00:00 AM,313,0.7,28,32,Flash Cab
4100220,11/18/2019 08:00:00 AM,260,0.56,28,32,Chicago Carriage Cab Corp
4100221,11/18/2019 08:00:00 AM,2400,0.7,16,76,Taxi Affiliation Services
4100222,11/18/2019 08:00:00 AM,293,0.74,28,32,Flash Cab
4100223,11/18/2019 08:00:00 AM,267,0.73,32,32,Chicago Carriage Cab Corp
4100224,11/18/2019 08:00:00 AM,415,1.33,28,28,Chicago Carriage Cab Corp
4100225,11/18/2019 08:00:00 AM,395,0.6,32,32,Medallion Leasin
4100226,11/18/2019 08:00:00 AM,360,1.1,8,32,Taxi Affiliation Services
4100227,11/18/2019 08:00:00 AM,347,0.96,32,32,Chicago Carriage Cab Corp
4100228,11/18/2019 08:00:00 AM,395,1.05,28,32,Flash Cab
4100229,11/18/2019 08:00:00 AM,512,1.2,32,8,24 Seven Taxi
4100230,11/18/2019 08:00:00 AM,503,0.78,28,28,Flash Cab
4100231,11/18/2019 08:00:00 AM,300,0.7,32,28,Medallion Leasin
4100232,11/18/2019 08:00:00 AM,531,1.0,28,32,Medallion Leasin
4100233,11/18/2019 08:00:00 AM,271,0.8,32,28,City Service
4100234,11/18/2019 08:00:00 AM,529,1.47,16,4,Flash Cab
4100235,11/18/2019 08:00:00 AM,334,0.6,32,32,City Service
4100236,11/18/2019 08:00:00 AM,346,0.81,32,32,Sun Taxi
4100237,11/18/2019 08:00:00 AM,334,0.92,32,28,Chicago Carriage Cab Corp
4100238,11/18/2019 08:00:00 AM,339,0.9,28,32,Chicago Carriage Cab Corp
4100239,11/18/2019 08:00:00 AM,294,0.77,28,32,Chicago Carriage Cab Corp
4100240,11/18/2019 08:00:00 AM,345,0.65,28,32,Chicago Carriage Cab Corp
4100241,11/18/2019 08:00:00 AM,581,1.39,28,32,Chicago Carriage Cab Corp
4100242,11/18/2019 08:00:00 AM,375,0.9,8,8,Medallion Leasin
4100243,11/18/2019 08:00:00 AM,420,1.6,8,32,Taxi Affiliation Services
4100244,11/18/2019 08:00:00 AM,476,1.12,28,32,Sun Taxi
4100245,11/18/2019 08:00:00 AM,215,0.59,28,32,Chicago Carriage Cab Corp
4100246,11/18/2019 08:00:00 AM,420,0.8,8,8,Medallion Leasin
4100247,11/18/2019 08:00:00 AM,360,0.8,32,28,Medallion Leasin
4100248,11/18/2019 08:00:00 AM,240,0.9,32,8,Taxi Affiliation Services
4100249,11/18/2019 08:00:00 AM,240,0.8,32,32,Medallion Leasin
4100250,11/18/2019 08:00:00 AM,420,1.7,33,32,Chicago Medallion Management
4100251,11/18/2019 08:00:00 AM,188,0.71,32,32,Chicago Carriage Cab Corp
4100252,11/18/2019 08:00:00 AM,2700,1.3,2,46,Taxi Affiliation Services
4100253,11/18/2019 08:00:00 AM,438,0.7,32,32,City Service
4100254,11/18/2019 08:15:00 AM,481,0.89,6,6,Flash Cab
4100255,11/18/2019 08:15:00 AM,386,1.13,1,1,Flash Cab
4100256,11/18/2019 08:15:00 AM,398,0.83,32,28,Chicago Carriage Cab Corp
4100257,11/18/2019 08:15:00 AM,480,1.9,28,8,Choice Taxi Association
4100258,11/18/2019 08:15:00 AM,356,0.62,32,8,Flash Cab
4100259,11/18/2019 08:15:00 AM,570,1.33,8,8,Sun Taxi
4100260,11/18/2019 08:15:00 AM,409,1.13,28,28,24 Seven Taxi
4100261,11/18/2019 08:15:00 AM,340,0.63,28,32,Sun Taxi
4100262,11/18/2019 08:15:00 AM,347,1.04,32,8,Sun Taxi
4100263,11/18/2019 08:15:00 AM,489,1.34,28,32,Flash Cab
4100264,11/18/2019 08:15:00 AM,555,1.3,8,8,City Service
4100265,11/18/2019 08:15:00 AM,360,1.3,8,8,Choice Taxi Association
4100266,11/18/2019 08:15:00 AM,480,1.9,8,32,Taxi Affiliation Services
4100267,11/18/2019 08:15:00 AM,240,0.6,32,32,"Taxicab Insurance Agency, LLC"
4100268,11/18/2019 08:15:00 AM,572,1.27,8,32,Flash Cab
4100269,11/18/2019 08:15:00 AM,420,1.8,8,32,Top Cab Affiliation
4100270,11/18/2019 08:15:00 AM,480,1.3,28,32,Medallion Leasin
4100271,11/18/2019 08:15:00 AM,374,0.6,32,32,Medallion Leasin
4100272,11/18/2019 08:15:00 AM,300,0.8,32,8,"Taxicab Insurance Agency, LLC"
4100273,11/18/2019 08:15:00 AM,420,0.9,28,8,"Taxicab Insurance Agency, LLC"
4100274,11/18/2019 08:15:00 AM,532,0.91,28,32,Chicago Carriage Cab Corp
4100275,11/18/2019 08:15:00 AM,480,1.3,8,32,Medallion Leasin
4100276,11/18/2019 08:15:00 AM,480,0.91,28,32,Nova Taxi Affiliation Llc
4100277,11/18/2019 08:15:00 AM,237,0.57,32,32,Chicago Carriage Cab Corp
4100278,11/18/2019 08:15:00 AM,397,0.86,28,32,Chicago Carriage Cab Corp
4100279,11/18/2019 08:15:00 AM,419,0.76,28,32,Chicago Carriage Cab Corp
4100280,11/18/2019 08:15:00 AM,540,1.6,28,8,Medallion Leasin
4100281,11/18/2019 08:15:00 AM,296,0.6,8,8,Medallion Leasin
4100282,11/18/2019 08:15:00 AM,428,1.14,28,32,Sun Taxi
4100283,11/18/2019 08:15:00 AM,350,1.0,32,8,Leonard Cab Co
4100284,11/18/2019 08:15:00 AM,436,0.94,32,28,Chicago Carriage Cab Corp
4100285,11/18/2019 08:15:00 AM,408,1.04,32,8,Nova Taxi Affiliation Llc
4100286,11/18/2019 08:15:00 AM,420,1.0,32,28,Top Cab Affiliation
4100287,11/18/2019 08:15:00 AM,2389,10.95,28,4,Flash Cab
4100288,11/18/2019 08:15:00 AM,540,1.6,8,28,Choice Taxi Association
4100289,11/18/2019 08:15:00 AM,580,1.88,8,28,Chicago Carriage Cab Corp
4100290,11/18/2019 08:15:00 AM,400,1.6,8,24,Medallion Leasin
4100291,11/18/2019 08:15:00 AM,478,1.08,8,32,Chicago Carriage Cab Corp
4100292,11/18/2019 08:15:00 AM,325,1.15,28,28,Chicago Carriage Cab Corp
4100293,11/18/2019 08:15:00 AM,300,0.6,32,8,Medallion Leasin
4100294,11/18/2019 08:15:00 AM,549,1.9,7,8,Taxi Affiliation Service Yellow
4100295,11/18/2019 08:15:00 AM,456,1.4,8,32,Sun Taxi
4100296,11/18/2019 08:15:00 AM,509,1.14,32,32,Chicago Carriage Cab Corp
4100297,11/18/2019 08:15:00 AM,240,0.7,32,32,Star North Management LLC
4100298,11/18/2019 08:15:00 AM,540,1.4,28,8,Taxi Affiliation Services
4100299,11/18/2019 08:15:00 AM,299,0.71,8,8,Chicago Carriage Cab Corp
4100300,11/18/2019 08:15:00 AM,393,0.9,8,32,Chicago Carriage Cab Corp
4100301,11/18/2019 08:15:00 AM,360,1.5,32,28,Taxi Affiliation Services
4100302,11/18/2019 08:15:00 AM,345,0.52,1,1,Flash Cab
4100303,11/18/2019 08:15:00 AM,335,0.9,8,32,Sun Taxi
4100304,11/18/2019 08:15:00 AM,303,0.69,28,28,Chicago Carriage Cab Corp
4100305,11/18/2019 08:15:00 AM,311,0.64,32,8,Chicago Carriage Cab Corp
4100306,11/18/2019 08:15:00 AM,360,1.0,8,32,Taxi Affiliation Services
4100307,11/18/2019 08:15:00 AM,360,1.3,28,32,Star North Management LLC
4100308,11/18/2019 08:15:00 AM,570,1.1,28,32,Chicago Taxicab
4100309,11/18/2019 08:15:00 AM,483,1.1,28,32,Chicago Carriage Cab Corp
4100310,11/18/2019 08:15:00 AM,360,1.1,28,32,Star North Management LLC
4100311,11/18/2019 08:15:00 AM,559,1.28,28,32,Flash Cab
4100312,11/18/2019 08:15:00 AM,560,1.82,8,8,Sun Taxi
4100313,11/18/2019 08:15:00 AM,531,1.54,28,8,Chicago Carriage Cab Corp
4100314,11/18/2019 08:15:00 AM,420,0.6,32,28,"Taxicab Insurance Agency, LLC"
4100315,11/18/2019 08:15:00 AM,2381,10.66,56,32,Chicago Carriage Cab Corp
4100316,11/18/2019 08:15:00 AM,240,0.7,32,28,Taxi Affiliation Services
4100317,11/18/2019 08:15:00 AM,315,0.73,28,28,City Service
4100318,11/18/2019 08:15:00 AM,482,0.75,28,24,Flash Cab
4100319,11/18/2019 08:15:00 AM,548,1.2,8,32,Medallion Leasin
4100320,11/18/2019 08:15:00 AM,586,1.53,8,32,Flash Cab
4100321,11/18/2019 08:15:00 AM,446,0.95,28,32,Chicago Carriage Cab Corp
4100322,11/18/2019 08:15:00 AM,328,0.94,8,8,Chicago Carriage Cab Corp
4100323,11/18/2019 08:15:00 AM,300,0.6,32,32,Sun Taxi
4100324,11/18/2019 08:15:00 AM,2383,10.0,2,32,Flash Cab
4100325,11/18/2019 08:15:00 AM,280,0.8,28,28,Medallion Leasin
4100326,11/18/2019 08:15:00 AM,360,1.4,32,28,Choice Taxi Association
4100327,11/18/2019 08:15:00 AM,429,0.53,28,32,Flash Cab
4100328,11/18/2019 08:15:00 AM,360,0.7,28,32,KOAM Taxi Association
4100329,11/18/2019 08:15:00 AM,540,1.5,8,32,Choice Taxi Association
4100330,11/18/2019 08:15:00 AM,381,1.0,28,28,City Service
4100331,11/18/2019 08:15:00 AM,480,1.9,8,32,Taxi Affiliation Services
4100332,11/18/2019 08:15:00 AM,360,0.9,28,32,"Taxicab Insurance Agency, LLC"
4100333,11/18/2019 08:15:00 AM,468,1.4,8,32,Sun Taxi
4100334,11/18/2019 08:15:00 AM,540,1.7,35,35,Taxi Affiliation Services
4100335,11/18/2019 08:15:00 AM,458,0.96,32,32,Chicago Carriage Cab Corp
4100336,11/18/2019 08:15:00 AM,519,1.24,8,32,Flash Cab
4100337,11/18/2019 08:15:00 AM,474,1.12,28,32,Chicago Carriage Cab Corp
4100338,11/18/2019 08:15:00 AM,540,1.0,28,32,Star North Management LLC
4100339,11/18/2019 08:15:00 AM,422,0.8,28,8,City Service
4100340,11/18/2019 08:15:00 AM,448,0.9,32,28,City Service
4100341,11/18/2019 08:15:00 AM,300,0.8,28,32,"Taxicab Insurance Agency, LLC"
